gene,fold.change,p.adjvalue,rank,pvalue
0610005C13Rik,0.004569125,0.999774489,4.98E-02,0.891576415
0610006L08Rik,0,1,0.00E+00,
0610009E02Rik,-0.00264817,0.999774489,-2.63E-02,0.941267354
0610009L18Rik,-0.037537102,0.924415188,-4.78E-01,0.332367023
0610010K14Rik,-0.006638852,0.991824875,-1.42E-01,0.720296903
0610025J13Rik,0,1,0.00E+00,
0610030E20Rik,0.05089975,0.745888197,8.56E-01,0.139341179
0610031O16Rik,-0.01536667,1,-3.94E-01,0.403892817
0610038B21Rik,-0.034118472,1,-9.92E-01,0.101839026
0610039H22Rik,-0.143834514,0.493614807,-1.30E+00,0.049738322
0610039K10Rik,-0.057024649,0.85271033,-6.69E-01,0.214076284
0610040B10Rik,-0.03219564,0.937349158,-4.45E-01,0.358544075
0610040F04Rik,0.038396793,0.93038627,4.65E-01,0.342826533
0610040J01Rik,0.022122185,0.971180671,3.00E-01,0.501616605
0610042G04Rik,0.007492797,0.995140679,1.10E-01,0.776350555
0610043K17Rik,-0.025901216,0.970965247,-3.07E-01,0.493623046
1100001I12Rik,0,1,0.00E+00,
1110002E22Rik,0.026418112,0.959513953,3.60E-01,0.436577678
1110002J07Rik,0.015007473,0.990506203,1.72E-01,0.672990443
1110002L01Rik,-0.066722153,0.781383283,-8.01E-01,0.158129199
1110002O04Rik,-0.00075393,1,-2.34E-02,0.947506268
1110004F10Rik,-0.017586619,0.940045593,-4.39E-01,0.364261528
1110006O24Rik,-0.00864869,1,-1.39E-01,0.725709819
1110015O18Rik,0,1,0.00E+00,
1110018N20Rik,0.043265938,1,1.39E+00,0.041200379
1110019D14Rik,-0.002662982,0.999774489,-2.65E-02,0.940772847
1110020A21Rik,-0.014351691,0.990506203,-1.73E-01,0.671052467
1110025L11Rik,0,1,0.00E+00,
1110025M09Rik,-0.037837067,0.937349158,-4.48E-01,0.356329985
1110028F11Rik,0,1,0.00E+00,
1110028F18Rik,0.007893087,1,3.16E-01,0.483084741
1110032F04Rik,0.007955662,0.998561257,9.57E-02,0.802317592
1110036E04Rik,0.027517964,1,4.03E-01,0.395210223
1110038B12Rik,-0.004950528,0.998960885,-8.18E-02,0.828332932
1110038F14Rik,-0.017570207,0.970965247,-3.08E-01,0.492424924
1110046J04Rik,-0.000355743,1,-5.01E-03,0.988530709
1110057P08Rik,0,1,0.00E+00,
1110058D11Rik,0,1,0.00E+00,
1110059E24Rik,-0.011382823,0.984087759,-2.02E-01,0.628694079
1110059G10Rik,-0.001406089,0.999774489,-1.90E-02,0.957262251
1110065P20Rik,0.028135963,0.958187407,3.64E-01,0.432699952
1190005I06Rik,0,1,0.00E+00,
1190028D05Rik,0,1,0.00E+00,
1300002E11Rik,-0.306558471,0.21707129,-1.94E+00,0.011378009
1500002C15Rik,-0.036967934,0.904595987,-5.44E-01,0.285997067
1500002F19Rik,-0.04198026,0.894543884,-5.64E-01,0.272988824
1500004A13Rik,-0.061786239,0.811345101,-7.42E-01,0.181245153
1500009L16Rik,-0.026022652,0.967658649,-3.36E-01,0.461751225
1500011B03Rik,-0.014460364,0.986395261,-1.84E-01,0.653933523
1500012K07Rik,0.012039402,1,2.67E-01,0.540484078
1500015A07Rik,-0.02382228,0.970965247,-3.05E-01,0.495953101
1500015L24Rik,0,1,0.00E+00,
1500026H17Rik,-0.022232103,1,-5.27E-01,0.297403796
1500035N22Rik,0,1,0.00E+00,
1600002D24Rik,-0.029717547,1,-4.81E-01,0.330360562
1600010M07Rik,0.080768123,0.729850952,8.84E-01,0.130588109
1600012H06Rik,0.002452396,0.999774489,4.13E-02,0.909285157
1600012P17Rik,-0.006344571,1,-2.45E-01,0.569359139
1600014C10Rik,-0.336283862,0.142126492,-2.23E+00,0.005839693
1600014C23Rik,0,1,0.00E+00,
1600015H23Rik,0,1,0.00E+00,
1600019K03Rik,0,1,0.00E+00,
1600020E01Rik,-0.000778804,0.999774489,-1.21E-02,0.972432026
1600023N17Rik,0.017721163,1,2.82E-01,0.522204764
1600025M17Rik,0,1,0.00E+00,
1600027J07Rik,0,1,0.00E+00,
1600029I14Rik,0,1,0.00E+00,
1700001D01Rik,0,1,0.00E+00,
1700001F09Rik,0,1,0.00E+00,
1700001G01Rik,0,1,0.00E+00,
1700001G11Rik,-0.02872452,0.957809081,-3.69E-01,0.427775047
1700001G17Rik,-0.003122045,1,-4.16E-02,0.908576051
1700001J03Rik,0.008496414,1,1.15E-01,0.766815117
1700001J04Rik,0,1,0.00E+00,
1700001K19Rik,0.067203521,0.745888197,8.56E-01,0.139391586
1700001K23Rik,0.151206584,1,3.15E+00,0.000708816
1700001L05Rik,-0.018375788,0.983052031,-2.14E-01,0.61120474
1700001O22Rik,-0.02532038,1,-4.51E-01,0.353801524
1700003C15Rik,0,1,0.00E+00,
1700003D09Rik,-0.019524849,1,-3.63E-01,0.433038708
1700003E16Rik,-0.023010925,1,-8.45E-01,0.142930062
1700003E24Rik,0,1,0.00E+00,
1700003F12Rik,-0.012574632,1,-4.77E-01,0.333561877
1700003G18Rik,0.005433535,1,2.04E-01,0.624753135
1700003H04Rik,0,1,0.00E+00,
1700003I22Rik,0,1,0.00E+00,
1700003L19Rik,0,1,0.00E+00,
1700003M07Rik,-0.001918717,0.999774489,-1.95E-02,0.956094424
1700003P14Rik,0,1,0.00E+00,
1700006A11Rik,0,1,0.00E+00,
1700006F04Rik,0,1,0.00E+00,
1700006H20Rik,-0.008844468,1,-3.63E-01,0.433264991
1700006H21Rik,0,1,0.00E+00,
1700006J14Rik,-0.015477538,1,-2.51E-01,0.560444474
1700007F19Rik,0,1,0.00E+00,
1700007J10Rik,-0.020951917,1,-3.30E-01,0.467353634
1700007L15Rik,-0.045754797,0.899558951,-5.55E-01,0.278916092
1700007P06Rik,0,1,0.00E+00,
1700008C04Rik,0,1,0.00E+00,
1700008J07Rik,0.030139732,0.960639929,3.55E-01,0.441824529
1700008K24Rik,0,1,0.00E+00,
1700008O03Rik,0.009929536,1,1.43E-01,0.719653102
1700009C05Rik,0,1,0.00E+00,
1700009J07Rik,-0.01927994,0.981123466,-2.28E-01,0.591688091
1700009N14Rik,0,1,0.00E+00,
1700010B08Rik,0,1,0.00E+00,
1700010D01Rik,0,1,0.00E+00,
1700010G06Rik,0.00037679,1,1.18E-02,0.973290468
1700010H22Rik,0,1,0.00E+00,
1700010I02Rik,0,1,0.00E+00,
1700010I14Rik,0.006051957,0.999424594,6.21E-02,0.866698095
1700010J16Rik,0,1,0.00E+00,
1700010K23Rik,0,1,0.00E+00,
1700010L04Rik,0,1,0.00E+00,
1700010N08Rik,0,1,0.00E+00,
1700011B04Rik,0,1,0.00E+00,
1700011C11Rik,0,1,0.00E+00,
1700011L22Rik,0.018355371,1,2.78E-01,0.527647276
1700012A03Rik,0,1,0.00E+00,
1700012B07Rik,0.019993934,1,3.20E-01,0.479106816
1700012B09Rik,-0.005085944,1,-1.90E-01,0.64547999
1700012C14Rik,0,1,0.00E+00,
1700012D01Rik,-0.002439703,0.999774489,-2.48E-02,0.944501481
1700012D16Rik,0,1,0.00E+00,
1700012H19Rik,0,1,0.00E+00,
1700012I11Rik,0,1,0.00E+00,
1700012J15Rik,0,1,0.00E+00,
1700013D24Rik,0.00210823,1,5.93E-02,0.872269929
1700013G24Rik,0,1,0.00E+00,
1700013H16Rik,-0.001342125,1,-2.39E-02,0.94636128
1700013N06Rik,0,1,0.00E+00,
1700014L14Rik,0,1,0.00E+00,
1700015C15Rik,0,1,0.00E+00,
1700015I17Rik,0.005332586,1,2.00E-01,0.630969336
1700016A09Rik,-0.037368653,1,-9.14E-01,0.12182286
1700016B01Rik,0,1,0.00E+00,
1700016C19Rik,0,1,0.00E+00,
1700016G22Rik,-0.006461077,0.999070304,-6.78E-02,0.85537982
1700016H13Rik,0,1,0.00E+00,
1700016J18Rik,-0.008844468,1,-3.63E-01,0.433264991
1700016K05Rik,0,1,0.00E+00,
1700016L04Rik,-0.046434667,1,-1.48E+00,0.033374579
1700016L21Rik,0,1,0.00E+00,
1700016P04Rik,0,1,0.00E+00,
1700017B05Rik,0.014848516,0.963443977,3.50E-01,0.447104078
1700017G19Rik,-0.004751511,1,-1.06E-01,0.784288485
1700017J07Rik,-0.005085944,1,-1.90E-01,0.64547999
1700017L05Rik,0,1,0.00E+00,
1700017M07Rik,0,1,0.00E+00,
1700017N19Rik,0,1,0.00E+00,
1700018A04Rik,0,1,0.00E+00,
1700018A23Rik,-0.015172058,1,-2.15E-01,0.609250476
1700018B08Rik,-0.007510848,1,-2.98E-01,0.503256454
1700018F24Rik,0,1,0.00E+00,
1700018L02Rik,-0.013211811,1,-2.45E-01,0.568559585
1700019A02Rik,-0.006344571,1,-2.45E-01,0.569359139
1700019C18Rik,0,1,0.00E+00,
1700019D03Rik,0.034697296,0.923019756,4.81E-01,0.330128017
1700019E08Rik,0,1,0.00E+00,
1700019F05Rik,0,1,0.00E+00,
1700019G24Rik,0,1,0.00E+00,
1700019J19Rik,-0.004372374,1,-9.62E-02,0.801252061
1700019M22Rik,0,1,0.00E+00,
1700019P21Rik,0,1,0.00E+00,
1700020A23Rik,0,1,0.00E+00,
1700020D12Rik,0,1,0.00E+00,
1700020D14Rik,0,1,0.00E+00,
1700020G03Rik,0,1,0.00E+00,
1700020G17Rik,0,1,0.00E+00,
1700020L13Rik,0.035733659,1,6.86E-01,0.206050669
1700020L24Rik,-0.004239121,1,-7.96E-02,0.83255246
1700020M21Rik,0,1,0.00E+00,
1700020N01Rik,0.015771585,1,2.64E-01,0.543926979
1700020N15Rik,0,1,0.00E+00,
1700020N18Rik,0.009764001,1,3.97E-01,0.401045512
1700021F02Rik,0,1,0.00E+00,
1700021G15Rik,0,1,0.00E+00,
1700021L23Rik,0,1,0.00E+00,
1700021N21Rik,0,1,0.00E+00,
1700022A22Rik,0,1,0.00E+00,
1700022E09Rik,0,1,0.00E+00,
1700022H01Rik,-0.005801047,1,-1.15E-01,0.76703094
1700022H16Rik,0,1,0.00E+00,
1700022N22Rik,-0.021859552,0.970965247,-3.03E-01,0.497220054
1700023A20Rik,0.013048433,1,3.45E-01,0.451514176
1700023C21Rik,0,1,0.00E+00,
1700023D09Rik,-0.034554057,0.946521243,-4.24E-01,0.376832449
1700023F02Rik,0,1,0.00E+00,
1700023G09Rik,0,1,0.00E+00,
1700024B05Rik,0,1,0.00E+00,
1700024B18Rik,0,1,0.00E+00,
1700024G13Rik,0,1,0.00E+00,
1700024I08Rik,0.013458374,1,2.23E-01,0.597742377
1700024J04Rik,0,1,0.00E+00,
1700024N05Rik,0,1,0.00E+00,
1700025B11Rik,-0.000845388,1,-2.65E-02,0.940837469
1700025C18Rik,0,1,0.00E+00,
1700025D23Rik,0,1,0.00E+00,
1700025F24Rik,0,1,0.00E+00,
1700025G04Rik,0.01731244,0.957976181,3.67E-01,0.42975404
1700025H01Rik,0,1,0.00E+00,
1700025J12Rik,0,1,0.00E+00,
1700025K04Rik,0,1,0.00E+00,
1700025K24Rik,0,1,0.00E+00,
1700025M24Rik,0,1,0.00E+00,
1700025N21Rik,-0.003386145,0.999774489,-3.68E-02,0.91865894
1700025N23Rik,-0.00075393,1,-2.34E-02,0.947506268
1700025O08Rik,0,1,0.00E+00,
1700026D11Rik,-0.023440239,1,-8.22E-01,0.150669357
1700026F02Rik,0,1,0.00E+00,
1700026J12Rik,0,1,0.00E+00,
1700026J14Rik,0,1,0.00E+00,
1700027F06Rik,0,1,0.00E+00,
1700027F09Rik,0.011429784,1,2.13E-01,0.611750492
1700027H10Rik,0,1,0.00E+00,
1700027I24Rik,-0.000254076,1,-3.57E-03,0.991819208
1700027J07Rik,-0.01872565,0.982888961,-2.18E-01,0.605463297
1700028D13Rik,0,1,0.00E+00,
1700028E10Rik,-0.058332826,0.823436116,-7.19E-01,0.191015728
1700028I16Rik,-0.008844468,1,-3.63E-01,0.433264991
1700028J19Rik,0.002257644,1,2.83E-02,0.936896136
1700028K03Rik,-0.067096936,1,-1.96E+00,0.011079749
1700028M03Rik,0,1,0.00E+00,
1700028P15Rik,0,1,0.00E+00,
1700029B22Rik,0,1,0.00E+00,
1700029F12Rik,0,1,0.00E+00,
1700029H14Rik,-0.050859033,1,-9.34E-01,0.116281526
1700029J03Rik,0,1,0.00E+00,
1700029M03Rik,-0.007519177,1,-2.14E-01,0.610683805
1700029M20Rik,0,1,0.00E+00,
1700029N11Rik,0.00083125,1,1.84E-02,0.958618859
1700030A11Rik,0,1,0.00E+00,
1700030C10Rik,0.019105181,0.983052031,2.15E-01,0.609301447
1700030C12Rik,0.003108197,1,4.03E-02,0.911436374
1700030C14Rik,0,1,0.00E+00,
1700030F04Rik,0.006093445,1,1.50E-01,0.70761153
1700030I03Rik,0,1,0.00E+00,
1700030J22Rik,-0.002182806,0.999774489,-2.16E-02,0.951468516
1700030K09Rik,-0.071591746,0.737244637,-8.70E-01,0.134840391
1700030L20Rik,0,1,0.00E+00,
1700030L22Rik,0,1,0.00E+00,
1700030M09Rik,0,1,0.00E+00,
1700030N03Rik,0,1,0.00E+00,
1700030O20Rik,0.012360632,1,2.26E-01,0.593818784
1700031A10Rik,0,1,0.00E+00,
1700031F05Rik,0,1,0.00E+00,
1700031L13Rik,0,1,0.00E+00,
1700031M16Rik,0,1,0.00E+00,
1700031P21Rik,0,1,0.00E+00,
1700034B16Rik,0,1,0.00E+00,
1700034E13Rik,0,1,0.00E+00,
1700034G24Rik,0,1,0.00E+00,
1700034H15Rik,0.058176957,0.81365447,7.40E-01,0.18210825
1700034J05Rik,0,1,0.00E+00,
1700034K08Rik,0,1,0.00E+00,
1700034P13Rik,-0.007097403,1,-8.79E-02,0.816679947
1700036A12Rik,0,1,0.00E+00,
1700036G14Rik,0,1,0.00E+00,
1700037C18Rik,0,1,0.00E+00,
1700037F03Rik,-0.006064873,0.999070304,-6.88E-02,0.853499563
1700039E22Rik,0,1,0.00E+00,
1700039I01Rik,0,1,0.00E+00,
1700039M10Rik,0.005433535,1,2.04E-01,0.624753135
1700039O17Rik,0,1,0.00E+00,
1700040D17Rik,-0.00063411,1,-9.66E-03,0.978007443
1700040F15Rik,0,1,0.00E+00,
1700040G22Rik,0,1,0.00E+00,
1700040K01Rik,0,1,0.00E+00,
1700040P09Rik,0,1,0.00E+00,
1700041A01Rik,-0.003389715,1,-7.52E-02,0.841050822
1700041B01Rik,0,1,0.00E+00,
1700041C23Rik,0,1,0.00E+00,
1700041G16Rik,-0.048845607,1,-1.54E+00,0.028881942
1700041I07Rik,0.007786042,1,3.11E-01,0.488839071
1700041M19Rik,0,1,0.00E+00,
1700042G15Rik,0,1,0.00E+00,
1700042O10Rik,0.004921721,1,1.73E-01,0.671033626
1700044C05Rik,0,1,0.00E+00,
1700044K03Rik,0,1,0.00E+00,
1700045H11Rik,0.009764001,1,3.97E-01,0.401045512
1700046C09Rik,0,1,0.00E+00,
1700047A11Rik,0.000603846,1,1.71E-02,0.961446712
1700047E10Rik,0,1,0.00E+00,
1700047F07Rik,0,1,0.00E+00,
1700047G03Rik,0,1,0.00E+00,
1700047L14Rik,0,1,0.00E+00,
1700047M11Rik,0.010119462,1,4.09E-01,0.389887708
1700048B10Rik,0,1,0.00E+00,
1700048F04Rik,0,1,0.00E+00,
1700048M11Rik,-0.002326633,1,-7.07E-02,0.849859215
1700048O14Rik,0,1,0.00E+00,
1700048O20Rik,-0.018924621,0.982248078,-2.23E-01,0.597868362
1700049E15Rik,0,1,0.00E+00,
1700049E17Rik1,0,1,0.00E+00,
1700049E17Rik2,0,1,0.00E+00,
1700049E22Rik,0,1,0.00E+00,
1700049J03Rik,0.049631653,0.859167598,6.60E-01,0.218572237
1700051A21Rik,0,1,0.00E+00,
1700051K13Rik,-0.035226315,1,-5.73E-01,0.267493484
1700052H01Rik,0,1,0.00E+00,
1700052I22Rik,0,1,0.00E+00,
1700052K11Rik,-0.042555434,0.914994261,-5.05E-01,0.312707469
1700054A03Rik,-0.007216259,1,-1.41E-01,0.722984347
1700054K19Rik,0,1,0.00E+00,
1700054M17Rik,-0.005085944,1,-1.90E-01,0.64547999
1700054O19Rik,-0.039728574,1,-9.70E-01,0.107202466
1700055C04Rik,0,1,0.00E+00,
1700055D16Rik,-0.073170289,0.67222123,-1.00E+00,0.099035769
1700055D18Rik,0.03643924,0.929493723,4.69E-01,0.339678946
1700055K11Rik,-0.00649811,1,-2.51E-01,0.560406241
1700055L01Rik,0,1,0.00E+00,
1700056E22Rik,-0.038378071,0.933843741,-4.53E-01,0.352081503
1700057H15Rik,0,1,0.00E+00,
1700057H21Rik,0,1,0.00E+00,
1700060C16Rik,0,1,0.00E+00,
1700060C20Rik,0.013593524,1,5.27E-01,0.296948788
1700060J05Rik,-0.003531737,1,-1.04E-01,0.786734049
1700061F12Rik,0.002640273,1,3.96E-02,0.912951987
1700061I17Rik,0,1,0.00E+00,
1700061J23Rik,0,1,0.00E+00,
1700061N14Rik,-0.016893143,1,-3.67E-01,0.429722256
1700062C10Rik,0.009764001,1,3.97E-01,0.401045512
1700063A18Rik,0,1,0.00E+00,
1700063D05Rik,-0.028036205,1,-5.29E-01,0.295562959
1700063H04Rik,0,1,0.00E+00,
1700063H06Rik,0,1,0.00E+00,
1700063K16Rik,0,1,0.00E+00,
1700063O14Rik,0,1,0.00E+00,
1700064F23Rik,0,1,0.00E+00,
1700064J06Rik,0.005433535,1,2.04E-01,0.624753135
1700064M15Rik,-0.020533032,0.975246659,-2.72E-01,0.534984508
1700065D16Rik,0.004351213,1,6.73E-02,0.856423302
1700065J11Rik,0,1,0.00E+00,
1700065J18Rik,0,1,0.00E+00,
1700065L07Rik,0,1,0.00E+00,
1700065O20Rik,0,1,0.00E+00,
1700066B17Rik,0.008894401,0.998561257,9.44E-02,0.804721474
1700066C05Rik,0,1,0.00E+00,
1700066J03Rik,-0.002233056,1,-6.73E-02,0.85644679
1700066M21Rik,-0.014387269,0.986004587,-1.86E-01,0.651296553
1700066N21Rik,0.005433535,1,2.04E-01,0.624753135
1700066O22Rik,0,1,0.00E+00,
1700067G17Rik,0,1,0.00E+00,
1700067K01Rik,0.024861939,0.95342102,3.96E-01,0.401778038
1700067P10Rik,0,1,0.00E+00,
1700069L16Rik,0,1,0.00E+00,
1700069P05Rik,0,1,0.00E+00,
1700071G01Rik,0,1,0.00E+00,
1700071K01Rik,0,1,0.00E+00,
1700071M16Rik,-0.016843664,0.982888961,-2.18E-01,0.604781145
1700072B07Rik,0,1,0.00E+00,
1700072F12Rik,0,1,0.00E+00,
1700072I22Rik,0,1,0.00E+00,
1700072O05Rik,-0.007510848,1,-2.98E-01,0.503256454
1700074H08Rik,0,1,0.00E+00,
1700080F18Rik,0,1,0.00E+00,
1700080G11Rik,0,1,0.00E+00,
1700080N15Rik,0,1,0.00E+00,
1700081B01Rik,0,1,0.00E+00,
1700081H04Rik,0,1,0.00E+00,
1700082M22Rik,-0.034640278,1,-1.16E+00,0.069852332
1700083H02Rik,0,1,0.00E+00,
1700084D21Rik,0.006116602,1,1.03E-01,0.789376042
1700084E18Rik,-0.03494464,1,-6.93E-01,0.202804134
1700084F23Rik,0,1,0.00E+00,
1700085C21Rik,0,1,0.00E+00,
1700086D15Rik,0,1,0.00E+00,
1700086L19Rik,0.007786042,1,3.11E-01,0.488839071
1700086O06Rik,-0.013636647,0.990922016,-1.62E-01,0.687968073
1700086P04Rik,-0.030844133,0.946521243,-4.26E-01,0.375262396
1700087M22Rik,0.005332586,1,2.00E-01,0.630969336
1700088E04Rik,0.040691427,0.91016142,5.23E-01,0.29971442
1700091H14Rik,0,1,0.00E+00,
1700091J24Rik,0.005332586,1,2.00E-01,0.630969336
1700092C02Rik,0,1,0.00E+00,
1700092C10Rik,0,1,0.00E+00,
1700092E19Rik,0,1,0.00E+00,
1700092K14Rik,0,1,0.00E+00,
1700093K21Rik,0,1,0.00E+00,
1700094J05Rik,0.003108186,1,4.19E-02,0.9081154
1700094M23Rik,-0.02564787,0.955963681,-3.76E-01,0.420775844
1700094M24Rik,0,1,0.00E+00,
1700095A13Rik,0,1,0.00E+00,
1700095A21Rik,0,1,0.00E+00,
1700095B10Rik,0,1,0.00E+00,
1700095J03Rik,0,1,0.00E+00,
1700095J07Rik,0.0076702,1,2.06E-01,0.621643056
1700095J12Rik,0,1,0.00E+00,
1700095K22Rik,0,1,0.00E+00,
1700096J18Rik,-0.005085944,1,-1.90E-01,0.64547999
1700096K18Rik,-0.104014358,0.606012424,-1.11E+00,0.078035008
1700096P03Rik,0,1,0.00E+00,
1700097N02Rik,0.004129432,1,9.46E-02,0.804237987
1700099I09Rik,0.004378931,1,7.21E-02,0.847081836
1700100I10Rik,0.028322263,1,1.01E+00,0.097925425
1700100L14Rik,0,1,0.00E+00,
1700101I11Rik,0.020752408,0.972474853,2.78E-01,0.527424282
1700101O22Rik,0,1,0.00E+00,
1700102H20Rik,-0.051660311,1,-1.26E+00,0.055214305
1700102J08Rik,0.002279027,1,6.40E-02,0.862946705
1700102P08Rik,-0.015022793,0.990506203,-1.72E-01,0.672834036
1700104B16Rik,-0.009829513,1,-1.57E-01,0.696157843
1700104L18Rik,0,1,0.00E+00,
1700105F02Rik,0,1,0.00E+00,
1700105P06Rik,-0.0045515,1,-1.32E-01,0.737216108
1700108F19Rik,-0.011154806,1,-2.43E-01,0.571047988
1700108I11Rik,0,1,0.00E+00,
1700108J01Rik,0,1,0.00E+00,
1700108N06Rik,0,1,0.00E+00,
1700109G14Rik,0,1,0.00E+00,
1700109G15Rik,0,1,0.00E+00,
1700109H08Rik,-0.00490431,0.998960885,-8.16E-02,0.828743788
1700109I08Rik,0,1,0.00E+00,
1700109K24Rik,0,1,0.00E+00,
1700110C19Rik,-0.011854153,0.991253941,-1.46E-01,0.715067327
1700110I01Rik,0,1,0.00E+00,
1700110I07Rik,0,1,0.00E+00,
1700110K17Rik,0.000604276,1,1.54E-02,0.965236977
1700111N16Rik,-0.005085944,1,-1.90E-01,0.64547999
1700112D23Rik,-0.007194084,1,-2.43E-01,0.571503094
1700112H15Rik,-0.000435624,1,-5.45E-03,0.987539669
1700112J05Rik,0.012161978,1,3.45E-01,0.451413727
1700112J16Rik,-0.01492638,1,-2.12E-01,0.614331816
1700112M02Rik,0,1,0.00E+00,
1700112N08Rik,0,1,0.00E+00,
1700113A16Rik,-0.070841289,0.772354804,-8.17E-01,0.15256691
1700113B09Rik,0,1,0.00E+00,
1700113H08Rik,-0.0344913,0.947138426,-4.20E-01,0.380220716
1700116B05Rik,0,1,0.00E+00,
1700116H05Rik,0,1,0.00E+00,
1700119H24Rik,0,1,0.00E+00,
1700120B22Rik,0.027006176,1,5.98E-01,0.252431488
1700120C14Rik,-0.053091245,1,-8.83E-01,0.130889233
1700120E14Rik,0,1,0.00E+00,
1700120G07Rik,0,1,0.00E+00,
1700120K04Rik,0,1,0.00E+00,
1700121C08Rik,0,1,0.00E+00,
1700121C10Rik,-0.033708052,1,-6.32E-01,0.233132937
1700121L16Rik,0,1,0.00E+00,
1700121M21Rik,0,1,0.00E+00,
1700121N20Rik,0,1,0.00E+00,
1700122C19Rik,0,1,0.00E+00,
1700122E12Rik,-0.048599166,0.857412196,-6.65E-01,0.216327806
1700122H20Rik,0,1,0.00E+00,
1700122O11Rik,0,1,0.00E+00,
1700123J17Rik,-0.006344571,1,-2.45E-01,0.569359139
1700123K08Rik,0,1,0.00E+00,
1700123M08Rik,-0.032591642,0.940045593,-4.39E-01,0.363614083
1700123O12Rik,0,1,0.00E+00,
1700123O20Rik,-0.008922943,0.99190905,-1.41E-01,0.722795314
1700123O21Rik,0,1,0.00E+00,
1700124L16Rik,0.015141915,1,2.67E-01,0.540157436
1700124M09Rik,0.003824406,1,8.59E-02,0.820511043
1700125G02Rik,0,1,0.00E+00,
1700125G22Rik,-0.00894806,1,-3.68E-01,0.428087881
1700125H03Rik,0.005433535,1,2.04E-01,0.624753135
1700126A01Rik,0,1,0.00E+00,
1700126G02Rik,-0.004662341,1,-9.93E-02,0.795643504
1700126H18Rik,0,1,0.00E+00,
1700127F24Rik,0.017364898,1,6.54E-01,0.222024374
1700128A07Rik,0,1,0.00E+00,
1700128E19Rik,0,1,0.00E+00,
1700129C05Rik,0,1,0.00E+00,
1810006J02Rik,-0.993555628,0.004314214,-4.32E+00,4.83E-05
1810007C17Rik,0,1,0.00E+00,
1810007D17Rik,0,1,0.00E+00,
1810008I18Rik,-0.00780653,1,-3.12E-01,0.487211172
1810009A15Rik,0,1,0.00E+00,
1810009J06Rik,0,1,0.00E+00,
1810010H24Rik,-0.002820265,0.999774489,-3.21E-02,0.928669974
1810010K12Rik,0,1,0.00E+00,
1810012K16Rik,-0.009349118,1,-1.56E-01,0.698814192
1810013A23Rik,0,1,0.00E+00,
1810013D15Rik,0,1,0.00E+00,
1810018F18Rik,0,1,0.00E+00,
1810019D21Rik,-0.022857425,0.975246659,-2.66E-01,0.542445153
1810019N24Rik,-0.000437445,1,-7.56E-03,0.98273559
1810021B22Rik,0.028729548,0.967327747,3.37E-01,0.460782995
1810021M19Rik,0.010380149,1,2.77E-01,0.529008027
1810024B03Rik,-0.035493616,0.946845334,-4.23E-01,0.377535778
1810030O07Rik,0.000554975,0.999774489,1.35E-02,0.96932767
1810034E14Rik,-0.055333991,0.845428616,-6.84E-01,0.207051324
1810035K13Rik,0,1,0.00E+00,
1810037I17Rik,-0.034067074,0.886617344,-5.78E-01,0.264084296
1810041H14Rik,-0.033709223,0.95342102,-4.02E-01,0.396537918
1810044D09Rik,0.009709914,0.996031903,1.07E-01,0.782179967
1810049I09Rik,0,1,0.00E+00,
1810053B23Rik,0,1,0.00E+00,
1810055G02Rik,0.017820485,0.975246659,2.66E-01,0.54213767
1810062G17Rik,-0.098608813,0.645423874,-1.05E+00,0.088839323
1810062O18Rik,0.031781817,0.956414019,3.74E-01,0.422698103
1810063I02Rik,-0.007510848,1,-2.98E-01,0.503256454
1810064F22Rik,0,1,0.00E+00,
1810065E05Rik,0.079425656,0.67053418,1.01E+00,0.097758519
1810073O08Rik,-0.027146744,0.96011699,-3.57E-01,0.439436943
2010001A14Rik,0.021254278,0.977174834,2.46E-01,0.567583874
2010001M07Rik,-0.006344571,1,-2.45E-01,0.569359139
2010003K11Rik,-0.014800793,1,-2.54E-01,0.557496808
2010004M13Rik,0.003839202,0.999774489,3.92E-02,0.913768427
2010009K17Rik,-0.005668441,1,-7.03E-02,0.850528983
2010010A06Rik,0.00105166,1,2.32E-02,0.947928823
2010016I18Rik,-0.113302221,0.602886246,-1.11E+00,0.077323778
2010103J01Rik,0,1,0.00E+00,
2010106C02Rik,0,1,0.00E+00,
2010106E10Rik,-0.006344571,1,-2.45E-01,0.569359139
2010109A12Rik,-0.015904188,0.988532626,-1.81E-01,0.659488819
2010109P13Rik,0,1,0.00E+00,
2010110K18Rik,-0.02697,1,-4.44E-01,0.359546726
2010203P06Rik,0.002577366,1,4.08E-02,0.910288141
2010204K13Rik,0.000148318,0.999820082,1.45E-03,0.996660698
2010308F09Rik,-0.020190843,1,-5.12E-01,0.307815234
2010310C07Rik,-0.044321759,1,-8.23E-01,0.150311464
2010315B03Rik,-0.024942135,0.966866115,-3.38E-01,0.458750877
2010320M18Rik,0.007744114,0.998960885,8.17E-02,0.828551522
2010320O07Rik,-0.00075393,1,-2.34E-02,0.947506268
2200002D01Rik,-0.026365614,0.957703547,-3.71E-01,0.425802659
2200002J24Rik,0.007893087,1,3.16E-01,0.483084741
2210011K15Rik,0,1,0.00E+00,
2210016L21Rik,-0.026705084,0.93038627,-4.64E-01,0.343575026
2210039B01Rik,0.007893087,1,3.16E-01,0.483084741
2210404E10Rik,0.007893087,1,3.16E-01,0.483084741
2210406O10Rik,0.041930355,0.873206952,6.24E-01,0.237795413
